screen_name|username|user_id|tweet_id|tweet_url|timestamp|timestamp_epochs|text|text_html|links|hashtags|has_media|img_urls|video_url|likes|retweets|replies|is_replied|is_reply_to|parent_tweet_id|reply_to_users|comment_total
luismorocho|luis morocho alvia|56096239|1245857608122040320|/luismorocho/status/1245857608122040320|2020-04-02 18:36:15-05:00|1585870575|Bancada @FrenteUpp presentará proyecto para reducir sueldo de los altos funcionarios en un 30%. Y ahora Julio Velarde, presidente del @bcrpoficial, también les dirá populistas? pic.twitter.com/WJ8AVtMqBe|"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Bancada <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1245202947140616193"" dir=""ltr"" href=""/FrenteUpp""><s>@</s><b>FrenteUpp</b></a> presentará proyecto para reducir sueldo de los altos funcionarios en un 30%. Y ahora Julio Velarde, presidente del <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""70469669"" dir=""ltr"" href=""/bcrpoficial""><s>@</s><b><strong>bcrpoficial</strong></b></a>, también les dirá populistas? <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/WJ8AVtMqBe"">pic.twitter.com/WJ8AVtMqBe</a></p>"|[]|[]|True|['https://pbs.twimg.com/media/EUos4qdXsAIFegv.jpg', 'https://pbs.twimg.com/media/EUos4qUWoAA8C5g.jpg']||47|15|13|True|False||[]|5
Inka_Awki_Capac|Inka_Awki_Capac|128920814|1245846916669161473|/Inka_Awki_Capac/status/1245846916669161473|2020-04-02 17:53:46-05:00|1585868026|"Sr Velarde @bcrpoficial , si trabajadores de un diario van a bajarse el sueldo a S/ 1,500 , por qué usted dice que sería una tontería?
Sr Velarde, nadie dice q baje su sueldo a S/ 1,500 pero ahora el Peru requiere d su SOLIDARIDAD.
Vamos señor póngase una mano en el bolsillo. https://twitter.com/eloymarchan/status/1245807917762326529 …"|"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""es"">Sr Velarde <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""70469669"" dir=""ltr"" href=""/bcrpoficial""><s>@</s><b><strong>bcrpoficial</strong></b></a> , si trabajadores de un diario van a bajarse el sueldo a S/ 1,500 , por qué usted dice que sería una tontería?
Sr Velarde, nadie dice q baje su sueldo a S/ 1,500 pero ahora el Peru requiere d su SOLIDARIDAD.
Vamos señor póngase una mano en el bolsillo. <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/eloymarchan/status/1245807917762326529"" dir=""ltr"" href=""https://t.co/HbMrtK1pDW"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/eloymarchan/status/1245807917762326529""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/eloymarchan/st</span><span class=""invisible"">atus/1245807917762326529</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"|['https://twitter.com/eloymarchan/status/1245807917762326529']|[]|False|[]||0|0|1|True|False||[]|0
Cluzcar|Carmen García 🇵🇪|282155394|1245844029016858624|/Cluzcar/status/1245844029016858624|2020-04-02 17:42:17-05:00|1585867337|Acaba de quitarse la careta Velarde, el mandamás del @bcrpoficial Nos enteramos q compatriotas q ganan bajos sueldos, están donando un día de su salario en el Cusco, para q sea usado en el tratamiento del coronavirus para compatriotas y este señoron q su sueldo https://twitter.com/peru21noticias/status/1245826016213381122 …|"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""es"">Acaba de quitarse la careta Velarde, el mandamás del <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""70469669"" dir=""ltr"" href=""/bcrpoficial""><s>@</s><b><strong>bcrpoficial</strong></b></a> Nos enteramos q compatriotas q ganan bajos sueldos, están donando un día de su salario en el Cusco, para q sea usado en el tratamiento del coronavirus para compatriotas y este señoron q su sueldo <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/peru21noticias/status/1245826016213381122"" dir=""ltr"" href=""https://t.co/Y3OBp1VfuU"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/peru21noticias/status/1245826016213381122""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/peru21noticias</span><span class=""invisible"">/status/1245826016213381122</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"|['https://twitter.com/peru21noticias/status/1245826016213381122']|[]|False|[]||6|5|1|True|False||[]|0
LeninTirado|Lenin Tirado|2191291574|1245843894199345157|/LeninTirado/status/1245843894199345157|2020-04-02 17:41:45-05:00|1585867305|Este panzón de #JulioVelarde @bcrpoficial es capaz de ver a gente muriéndose de hambre a su alrededor, pero solo piensa en tragar él. https://twitter.com/PeruanoComunica/status/1245750579533504512 …|"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""es"">Este panzón de <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/JulioVelarde?src=hash""><s>#</s><b>JulioVelarde</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""70469669"" dir=""ltr"" href=""/bcrpoficial""><s>@</s><b><strong>bcrpoficial</strong></b></a> es capaz de ver a gente muriéndose de hambre a su alrededor, pero solo piensa en tragar él. <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/PeruanoComunica/status/1245750579533504512"" dir=""ltr"" href=""https://t.co/a8qPmFOqCd"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/PeruanoComunica/status/1245750579533504512""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/PeruanoComunic</span><span class=""invisible"">a/status/1245750579533504512</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"|['https://twitter.com/PeruanoComunica/status/1245750579533504512']|['JulioVelarde']|False|[]||0|0|0|False|False||[]|0
AlvaFiddler|Fiddler Alva|845487446905278466|1245836697310392321|/AlvaFiddler/status/1245836697310392321|2020-04-02 17:13:09-05:00|1585865589|"TIEMBLA #JulioVelarde presidente del @bcrpoficial

El premier @VicAZeballos  manifestó, que el GOBIERNO evalúa la REDUCCIÓN de sueldos de altos funcionariospic.twitter.com/yeo6ArgyxU"|"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">TIEMBLA <img alt=""👉"" aria-label=""Emoji: Right pointing backhand index"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f449.png"" title=""Right pointing backhand index""/><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/JulioVelarde?src=hash""><s>#</s><b>JulioVelarde</b></a> presidente del <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""70469669"" dir=""ltr"" href=""/bcrpoficial""><s>@</s><b><strong>bcrpoficial</strong></b></a>

El premier <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""270073948"" dir=""ltr"" href=""/VicAZeballos""><s>@</s><b>VicAZeballos</b></a>  manifestó, que el GOBIERNO evalúa la REDUCCIÓN de sueldos de altos funcionarios<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/yeo6ArgyxU"">pic.twitter.com/yeo6ArgyxU</a></p>"|[]|['JulioVelarde']|True|['https://pbs.twimg.com/media/EUoZ32fXYAIP2NL.jpg']||1|0|1|True|False||[]|0
Hotmatsutaro|CARLOS DEL VALLE|430651039|1245834315877036033|/Hotmatsutaro/status/1245834315877036033|2020-04-02 17:03:42-05:00|1585865022|@bcrpoficial  https://twitter.com/CristhianRS/status/1245822924927291392 …|"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""und""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""70469669"" dir=""ltr"" href=""/bcrpoficial""><s>@</s><b><strong>bcrpoficial</strong></b></a> <img alt=""🔽"" aria-label=""Emoji: Down-pointing triangle"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f53d.png"" title=""Down-pointing triangle""/> <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/CristhianRS/status/1245822924927291392"" dir=""ltr"" href=""https://t.co/6RWlv53tvB"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/CristhianRS/status/1245822924927291392""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/CristhianRS/st</span><span class=""invisible"">atus/1245822924927291392</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"|['https://twitter.com/CristhianRS/status/1245822924927291392']|[]|False|[]||0|0|0|False|False||[]|0
tema0902|@tema0902|560309409|1245832807206858752|/tema0902/status/1245832807206858752|2020-04-02 16:57:42-05:00|1585864662|"Le compete al @congresoperu regular, dictar las normas, para los sueldos de los altos funcionarios públicos? 
@PepeChlimper DENUNCIADO PENALMENTE sigue en el @bcrpoficial igual q el otro #Fuji NO ECONOMISTA, sinverguenza #RafaelReyhttps://twitter.com/jesusverdeL/status/1245725953810223105 …"|"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""es"">Le compete al <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""78889373"" dir=""ltr"" href=""/congresoperu""><s>@</s><b>congresoperu</b></a> regular, dictar las normas, para los sueldos de los altos funcionarios públicos? 
<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""707141291688202241"" dir=""ltr"" href=""/PepeChlimper""><s>@</s><b>PepeChlimper</b></a> DENUNCIADO PENALMENTE sigue en el <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""70469669"" dir=""ltr"" href=""/bcrpoficial""><s>@</s><b><strong>bcrpoficial</strong></b></a> igual q el otro <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Fuji?src=hash""><s>#</s><b>Fuji</b></a> NO ECONOMISTA, sinverguenza <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/RafaelRey?src=hash""><s>#</s><b>RafaelRey</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/jesusverdeL/status/1245725953810223105"" dir=""ltr"" href=""https://t.co/dkz38dRbEq"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/jesusverdeL/status/1245725953810223105""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/jesusverdeL/st</span><span class=""invisible"">atus/1245725953810223105</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"|['https://twitter.com/jesusverdeL/status/1245725953810223105']|['Fuji', 'RafaelReyhttps']|False|[]||2|1|0|False|False||[]|0
aranira|Carlos Garcia|49065588|1245826132320100355|/aranira/status/1245826132320100355|2020-04-02 16:31:10-05:00|1585863070|"Es infinitamente más útil @matuk que los topos fujimoristas que están en el @bcrpoficial 
Si uds par de inútiles y saboteadores vendepatria @reyreysincorona @PepeChlimperhttps://twitter.com/_CarlitaRocha/status/1245769452265918474 …"|"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""es"">Es infinitamente más útil <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14541101"" dir=""ltr"" href=""/matuk""><s>@</s><b>matuk</b></a> que los topos fujimoristas que están en el <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""70469669"" dir=""ltr"" href=""/bcrpoficial""><s>@</s><b><strong>bcrpoficial</strong></b></a> 
Si uds par de inútiles y saboteadores vendepatria <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""443008452"" dir=""ltr"" href=""/reyreysincorona""><s>@</s><b>reyreysincorona</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""707141291688202241"" dir=""ltr"" href=""/PepeChlimper""><s>@</s><b>PepeChlimper</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/_CarlitaRocha/status/1245769452265918474"" dir=""ltr"" href=""https://t.co/c6W2mBN2MK"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/_CarlitaRocha/status/1245769452265918474""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/_CarlitaRocha/</span><span class=""invisible"">status/1245769452265918474</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"|['https://twitter.com/_CarlitaRocha/status/1245769452265918474']|[]|False|[]||9|1|0|False|False||[]|0
jmvilca99|Jesus Vilca Urdiales|73947704|1245820960177033217|/jmvilca99/status/1245820960177033217|2020-04-02 16:10:37-05:00|1585861837|¿Aló...? @bcrpoficial @MEF_Peru @ToniAlvaL @congresoperu @presidenciaperu @MartinVizcarraC @pcmperu @VicAZeballos @TC_Peru @Poder_Judicial_ @FiscaliaPeru @MinjusDH_Peru @ContraloriaPeru @Defensoria_Peru @JNE_Peru @ONPE_oficial @sutranperu @IndecopiOficial @OSINERGMIN @OSIPTEL etchttps://twitter.com/salvajedigital/status/1245539609385238528 …|"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""ca"">¿Aló...? <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""70469669"" dir=""ltr"" href=""/bcrpoficial""><s>@</s><b><strong>bcrpoficial</strong></b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""353391236"" dir=""ltr"" href=""/MEF_Peru""><s>@</s><b>MEF_Peru</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1179864482174119937"" dir=""ltr"" href=""/ToniAlvaL""><s>@</s><b>ToniAlvaL</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""78889373"" dir=""ltr"" href=""/congresoperu""><s>@</s><b>congresoperu</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""122441438"" dir=""ltr"" href=""/presidenciaperu""><s>@</s><b>presidenciaperu</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""4825296327"" dir=""ltr"" href=""/MartinVizcarraC""><s>@</s><b>MartinVizcarraC</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""173020528"" dir=""ltr"" href=""/pcmperu""><s>@</s><b>pcmperu</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""270073948"" dir=""ltr"" href=""/VicAZeballos""><s>@</s><b>VicAZeballos</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""269982019"" dir=""ltr"" href=""/TC_Peru""><s>@</s><b>TC_Peru</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""271439668"" dir=""ltr"" href=""/Poder_Judicial_""><s>@</s><b>Poder_Judicial_</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""302151609"" dir=""ltr"" href=""/FiscaliaPeru""><s>@</s><b>FiscaliaPeru</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""60989762"" dir=""ltr"" href=""/MinjusDH_Peru""><s>@</s><b>MinjusDH_Peru</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""330473224"" dir=""ltr"" href=""/ContraloriaPeru""><s>@</s><b>ContraloriaPeru</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""107428718"" dir=""ltr"" href=""/Defensoria_Peru""><s>@</s><b>Defensoria_Peru</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""160355694"" dir=""ltr"" href=""/JNE_Peru""><s>@</s><b>JNE_Peru</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""255707941"" dir=""ltr"" href=""/ONPE_oficial""><s>@</s><b>ONPE_oficial</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2979979727"" dir=""ltr"" href=""/sutranperu""><s>@</s><b>sutranperu</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""476303058"" dir=""ltr"" href=""/IndecopiOficial""><s>@</s><b>IndecopiOficial</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""229106167"" dir=""ltr"" href=""/OSINERGMIN""><s>@</s><b>OSINERGMIN</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""281199611"" dir=""ltr"" href=""/OSIPTEL""><s>@</s><b>OSIPTEL</b></a> etc<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/salvajedigital/status/1245539609385238528"" dir=""ltr"" href=""https://t.co/zlz6uo84UZ"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/salvajedigital/status/1245539609385238528""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/salvajedigital</span><span class=""invisible"">/status/1245539609385238528</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"|['https://twitter.com/salvajedigital/status/1245539609385238528']|[]|False|[]||0|0|0|False|False||[]|0
jmvilca99|Jesus Vilca Urdiales|73947704|1245819420641026049|/jmvilca99/status/1245819420641026049|2020-04-02 16:04:30-05:00|1585861470|¿Aló...? @bcrpoficial @MEF_Peru @ToniAlvaL @congresoperu @presidenciaperu @MartinVizcarraC @pcmperu @VicAZeballos @TC_Peru @Poder_Judicial_ @FiscaliaPeru @MinjusDH_Peru @ContraloriaPeru @Defensoria_Peru @JNE_Peru @ONPE_oficial @sutranperu @IndecopiOficial @OSINERGMIN @OSIPTEL etchttps://twitter.com/guiber_marcelo/status/1245719264671260673 …|"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""ca"">¿Aló...? <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""70469669"" dir=""ltr"" href=""/bcrpoficial""><s>@</s><b><strong>bcrpoficial</strong></b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""353391236"" dir=""ltr"" href=""/MEF_Peru""><s>@</s><b>MEF_Peru</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1179864482174119937"" dir=""ltr"" href=""/ToniAlvaL""><s>@</s><b>ToniAlvaL</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""78889373"" dir=""ltr"" href=""/congresoperu""><s>@</s><b>congresoperu</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""122441438"" dir=""ltr"" href=""/presidenciaperu""><s>@</s><b>presidenciaperu</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""4825296327"" dir=""ltr"" href=""/MartinVizcarraC""><s>@</s><b>MartinVizcarraC</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""173020528"" dir=""ltr"" href=""/pcmperu""><s>@</s><b>pcmperu</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""270073948"" dir=""ltr"" href=""/VicAZeballos""><s>@</s><b>VicAZeballos</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""269982019"" dir=""ltr"" href=""/TC_Peru""><s>@</s><b>TC_Peru</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""271439668"" dir=""ltr"" href=""/Poder_Judicial_""><s>@</s><b>Poder_Judicial_</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""302151609"" dir=""ltr"" href=""/FiscaliaPeru""><s>@</s><b>FiscaliaPeru</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""60989762"" dir=""ltr"" href=""/MinjusDH_Peru""><s>@</s><b>MinjusDH_Peru</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""330473224"" dir=""ltr"" href=""/ContraloriaPeru""><s>@</s><b>ContraloriaPeru</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""107428718"" dir=""ltr"" href=""/Defensoria_Peru""><s>@</s><b>Defensoria_Peru</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""160355694"" dir=""ltr"" href=""/JNE_Peru""><s>@</s><b>JNE_Peru</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""255707941"" dir=""ltr"" href=""/ONPE_oficial""><s>@</s><b>ONPE_oficial</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2979979727"" dir=""ltr"" href=""/sutranperu""><s>@</s><b>sutranperu</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""476303058"" dir=""ltr"" href=""/IndecopiOficial""><s>@</s><b>IndecopiOficial</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""229106167"" dir=""ltr"" href=""/OSINERGMIN""><s>@</s><b>OSINERGMIN</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""281199611"" dir=""ltr"" href=""/OSIPTEL""><s>@</s><b>OSIPTEL</b></a> etc<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/guiber_marcelo/status/1245719264671260673"" dir=""ltr"" href=""https://t.co/WjjIzVruo7"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/guiber_marcelo/status/1245719264671260673""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/guiber_marcelo</span><span class=""invisible"">/status/1245719264671260673</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"|['https://twitter.com/guiber_marcelo/status/1245719264671260673']|[]|False|[]||0|0|0|False|False||[]|0
