screen_name,is_followers
evlinpilar,1
juli3033,1
mariangelescq,1
corplumbersac,1
irenesalazarsa3,1
siguasd,1
juez91842697,1
claudio05920444,1
leidydianatr17,1
bradistinir,1
carloshperezo,1
elvismiguelmay5,1
mariale74997945,1
lizlizura,1
thoria42333718,1
mascopoll,1
oscarolivos13,1
cvargasallca,1
camayucra,1
jrthatsmyjam,1
camilam31157288,1
dianaolorteguig,1
katecaballero6,1
izega2,1
kike_tama,1
calins9,1
percy_pizach,1
leonor24susana,1
websteergustavo,1
nicolsechegara1,1
rdominguez1992,1
ronalds54928940,1
dmacera,1
juanguiwong,1
david53074229,1
ivanjaviercuba,1
juliohu16248763,1
kiara_h96,1
gilnajarro,1
alexruedabo,1
mitsumirios,1
cajavilcaortiz,1
neil966,1
luisrmm1,1
adcoc363,1
ericksva,1
yrajean16,1
ic_ing,1
guiller14201118,1
josluisdvilame1,1
diegoclaudiolt,1
utrilla_richard,1
joselev55406229,1
luismiguel_gd,1
amaubarzola,1
graciel94814764,1
davalosshiomara,1
reebook4595,1
david31509534,1
wrhp6,1
diana80950448,1
verdades77777,1
brandenburgert7,1
dianava21294382,1
jm_destiny,1
huamanijean,1
jmtopografias,1
rebeca00262246,1
abneradrian7,1
amez_oscar,1
saragl23604203,1
gabrielhuatuco3,1
saldalva,1
ciprianjakelyn,1
cortezvguti,1
spy727,1
milwermisahelin,1
cayotlv,1
aylinzapataa,1
bellollontop,1
estefaniaevil,1
ricardo13111983,1
alvaro___pena,1
reyjoz10,1
junior87963275,1
ernesto1512,1
jhezelyc,1
abrahamsotocer1,1
sueyrofabian1,1
luiscarlosalta7,1
antoniomosorio,1
sauloda21,1
apujoset,1
ebertdr,1
percyarroyo1,1
alfreditogche,1
blanca839085,1
donaldmotta,1
calosfr,1
maricarmentuits,1
peloterogenial,1
ricardoreynalt1,1
angie79824402,1
sheibi2,1
bilbao14,1
csar57056548,1
birreosj,1
danielg46801978,1
rhuamant20,1
jhon_inigo,1
elhigadodejuan,1
paolafgonzales,1
gustavochz1,1
isabel89671114,1
champisonia,1
jorgelu98596751,1
angerluzz,1
leninguerra85,1
campos_aries04,1
beats49137318,1
molleandres,1
amor05201061,1
frankli42355642,1
rasec2810,1
alexqb21hotmai1,1
ayastacustodio,1
wilfred32101996,1
carlosperezg02,1
ani54249024,1
10iber,1
jessicavicente1,1
benyiballadares,1
alecco55535349,1
percyro29700044,1
armandinapongo,1
miguel01274318,1
joaytr,1
edward77638997,1
elregresopedro,1
luzveni84939972,1
adan_vila,1
brenichdavalos,1
gcros6,1
ghinno12,1
yauri_07,1
teresa_uv,1
sandralucia2498,1
atoqori,1
malpartidakarla,1
waly_rene,1
abad48181928,1
llajarunarosita,1
jika79,1
pedro70156572,1
leo_chris09,1
angelvargaslau1,1
epiphany_srl,1
sharon88328603,1
evolvesystemspe,1
lucas67620871,1
tangwei1983,1
victorm56466863,1
kellysheccid,1
zaira22863272,1
angelita_pch,1
palomino_garcia,1
josurko7,1
jesustica,1
aldinho19761,1
raulcon31079192,1
luisarenasroja1,1
andres05964706,1
fortonpena,1
emiliogallac,1
cesitarval,1
pierina15,1
mp_arandia,1
sbardales92,1
supdeux,1
francis79926864,1
fcastanedap_,1
linaresotaner,1
fulgenciomv,1
mamamulinda,1
walter28344124,1
edithblastaraz1,1
guillenzevallos,1
diegoalania24,1
nilxp12,1
edi18934103,1
curo_ochoa,1
canaurbano,1
noticiasperu6,1
guilleprog,1
guayabanlinda,1
hctorral10,1
jeshua93442835,1
susramitos,1
joaco9229,1
santosguevarag4,1
cubapfoccoalata,1
alemendoza951,1
cristian_huauya,1
ivan95962009,1
cabonillac,1
muyduro6,1
karla41942505,1
livins88,1
augustoub,1
jorins,1
ivanlun91281972,1
maggisori,1
rossi05318791,1
alterna28,1
ronaldtp1,1
cbentinr1,1
ronnieg33412075,1
patrici58681159,1
edgar_h_b18,1
vsilvan17,1
edwin_inmortal,1
vanessa22727122,1
kattytellezvar1,1
power__02,1
cerveraroy,1
jhommiler,1
mario80805012,1
patri_saav,1
piojurado,1
bryanvs24948817,1
raffol23,1
ecodebu1,1
myparraguirre,1
maralui44760982,1
sebasv2,1
lucholaurall,1
seoperiodismo,1
jokampo1,1
phillip_chale,1
geraldi10081567,1
oomymel,1
ferfranbf,1
pro_autonoma,1
denis98782283,1
mariobn6,1
emerson22293923,1
marielaromo9,1
jorgegonzlezm1,1
arragacesar,1
yolandaruiz178,1
rafaelzamoralp1,1
sociedadnacion5,1
abelparizaca,1
jorge57684866,1
danielalluen,1
llerenalagunes,1
davila_calle,1
luz12896821,1
ladivasmonica,1
diego28301049,1
cardenadpaola,1
roberto290457,1
guayanlizbeth,1
dayannesanchez2,1
liebimoi,1
juancar84703758,1
ludmh,1
edcarrera30,1
rodrigo27470317,1
annymejiajaen,1
carlossantivae1,1
luciana11tello,1
barros_carlos,1
vltprvian,1
wildercubas82,1
aguerreyro,1
imsatoshit,1
bettterrones96,1
gianfranco2599,1
shenwil,1
adanialuque,1
mbarrutia1,1
rizorprice,1
walter96882729,1
julio44922683,1
narescka1,1
jdcarpioven,1
fielsaso,1
mndrecl,1
lozada_neptali,1
distritodesanjo,1
josezlo,1
walter_oroz,1
vasco11406898,1
elton_david,1
florchi53471071,1
lfloresn,1
anashimohira,1
maycoluis,1
vladimirvigo,1
organismo_de,1
aea4bdd324d749d,1
jotaconst,1
nickygutylopz,1
bravoaldana1,1
makotokunv,1
jeremy_c14,1
ilectica_7,1
pescadogeneris,1
alfy1987,1
alvarezr_,1
taekooknovios__,1
gazalgara1,1
evillaorduna,1
nan_arreluce,1
perfiloscuro,1
ridecaveur,1
renatoj59626896,1
scheccid1402,1
chunchays,1
curoamelia,1
juanjoquince,1
laura65854867,1
arturovp,1
9804bc28eb564b6,1
edu2fer,1
daniel94282851,1
ketty_am,1
lapavictor,1
elliotromero3,1
hadithrios,1
waltercarrasca4,1
cmr_24,1
iamtato24,1
royeraf,1
estefano_xd,1
restaurantecond,1
marifemejia18,1
jerint5,1
susansaquiray,1
crmald,1
mnaldag,1
milston22830749,1
villacres316330,1
malu85285578,1
paucarolivera,1
sergiopolanco7,1
maykerjhonn,1
xdrb,1
rbellidoarenas,1
mathewsjacky,1
alexanderestebi,1
jorge50747807,1
joseporhablar,1
_arnoldmarin,1
henrycabana3,1
nicko_redhead,1
martincito2804,1
charles_peru,1
thuapaya1,1
carademari,1
conraco1,1
itsthaliapdl,1
jose46135278,1
habraham_flores,1
dianacespedesra,1
luxitovl21,1
dulio86224803,1
mariangelica_qr,1
natifio,1
jr_arqangel,1
marcelochvez6,1
virgini93980587,1
darwinacaroroj1,1
cafeaulaitfr,1
carlosn92533506,1
eespar2,1
ewasst,1
saulespillico,1
frankli16972357,1
taciofurtado,1
hctormiguelval1,1
mathias68422789,1
virgodelsharck,1
carlosa68003213,1
lukemif,1
erikprincipe1,1
prestamodecrdi1,1
gianfra19636973,1
jc41071591,1
cajepasa17,1
mgracia_kom,1
chanysuarez,1
gcdg2000,1
jimmy_marquez_m,1
vladimi57374927,1
mendozamelgarej,1
belalexisa,1
yatengocuenta17,1
styven35837649,1
sebastiamaliaga,1
paulina_moix,1
kshf22,1
liz49121074,1
conradonina,1
juancar23267695,1
dante_loaiza,1
jabarrantesn,1
luwispucho,1
brisa1502,1
enrique37716150,1
lucianobardelli,1
mariasiancas13,1
angela_ruizv,1
joselui71435507,1
qmicela,1
vryurema,1
styffd,1
jromti,1
odsmar2,1
rosalijc,1
eberroncal,1
mirtha83457106,1
baldeonedward,1
trinidadjimnez7,1
perezito89,1
ronald47465825,1
alfredoio2,1
tonatiuhxxi,1
paolace53965306,1
jospaolo16,1
marizol07562804,1
jaralunajhoel,1
gersongutirre18,1
ciroalegra3,1
cefiro65701836,1
eduardo_cerron,1
alfredotc24,1
lc_hebert,1
jemissaa,1
shellagutierre6,1
rojamleo,1
javier4all1,1
jossyramirez27,1
renovat67845362,1
miguel49209551,1
felipelmjara,1
gcandia18,1
huamanyauri_s,1
raul07944569,1
cesar87812595,1
edyhuayhua,1
mayteyovana,1
avfm080115,1
jorgehi53346125,1
milagrossulca2,1
cevascohernan,1
vctorcndor1,1
antadi,1
solangejimnez3,1
luissot66880858,1
alexand70527850,1
huizaleiton,1
jose93668525,1
squispemati,1
marianjorge1,1
scrayny,1
vito9313,1
franz50408308,1
luciavargasg99,1
urteagaleon,1
konichiiwwa,1
danielardt1,1
jesus54276055,1
mynameisfreyai2,1
darwin84935223,1
gatorouge,1
lfzegarra,1
adamesvj,1
gilbertcp8,1
christbecerra,1
nestorchacnher1,1
yucra1,1
rcrperu,1
jvcnivico1,1
christi78206334,1
13rgr,1
princepsfori1,1
elvis_franki,1
julianleistad,1
manuelcornejo13,1
ronaldo57751489,1
javiernubazan,1
erlymontero1,1
ubilluzgarcia,1
pauldpc1,1
jhordanpaucar,1
roggeralexand18,1
luissare3,1
antony81820755,1
guifemo,1
francisconajr,1
verner85123592,1
miahinostroza2,1
voluntadrespira,1
patosandoval,1
sisemji,1
goyito1969,1
carmena12398735,1
icruzate,1
brunodi71215047,1
pedrorengifope3,1
jhonnymanrique7,1
javieryarleque2,1
gilmerthallende,1
a20105431,1
christi13185286,1
nuricruz4,1
escuelamarina,1
chanineordono,1
mariagr52485200,1
jablock85,1
j_ismodes,1
virgini91046324,1
innmarcelinos,1
jaimewalter1,1
lauraloav,1
raquels46563707,1
secularpundit1,1
reimond28,1
damarismishel11,1
francheloc,1
carranzaingrid5,1
barruetaromyna,1
pauloanthony29,1
elpatriotajul24,1
joeb765,1
ronaldv97873442,1
william95485737,1
geerson_vg,1
liz_gironp,1
marpili3,1
jhultup,1
andersyvc,1
jesus69642816,1
merlina75995912,1
nrg19omar,1
cz_alexjoel,1
jhonath04288240,1
jairramospadil1,1
andresriveraf2,1
vapaulinho,1
cap1401minaya,1
martinp74106598,1
salon225,1
ma_nuoc,1
jahirolivares,1
omar73609147,1
beto09garcia,1
gladys48638504,1
cesarahuanca1,1
ahdigvaci54,1
rtomonia,1
estefan93958710,1
juandelacruzsi4,1
erick_quirita,1
edu57087201,1
ipardo691,1
marcelo56787774,1
mrguerrax,1
christi57560944,1
lmenciahn,1
norma07381610,1
edisone51173796,1
luismej34258881,1
gutterdrige100,1
gochevi01,1
janetmil,1
cesar39579794,1
endgame109,1
acarli2020,1
sebasti8614,1
caterinaomh,1
felixromanport1,1
christi43165910,1
nathaniel_jamil,1
solincandescen1,1
helar_ambulay,1
marcomartinez24,1
jlzegarm,1
edylued,1
dreabulnes,1
atherpin_arturo,1
alexandrhzn,1
maricel58480098,1
hsweet9325,1
jeans74731829,1
difuss1,1
franzgonzalo,1
rosiocandia,1
ramesh50040298,1
maryrui41272970,1
josejos55434816,1
janicastro17,1
olgafetzer3,1
plisa1111,1
bvenegasm,1
ramiro_moya,1
yulilong16,1
hoyos_paloma,1
vrap_unmsm,1
johannlozano,1
naufraugguito,1
efrenjhojan,1
joelucedas,1
edwinordiales,1
alejand43487389,1
b_bcit,1
cerssocristian,1
oeachuby,1
alexand07442242,1
jc_sanchezn,1
maxi32243864,1
giserondon,1
joakimsito_2018,1
andreacardich,1
rubylazarte,1
tamaritaklog,1
jannethvalenci3,1
jaivia,1
castillobryn,1
rubijaquelyn,1
buenvito,1
roneyvm9,1
yachachinraul,1
shande52036442,1
nat19216174,1
rebottarovalen,1
yaquelineacos13,1
clauvalverde17,1
enriquejdc,1
rolandolopez79,1
tonytorresarias,1
organismomundi1,1
kenneth_vc_,1
55pea,1
solodig49722227,1
arianar____,1
tomasherrerama1,1
nellyu27,1
angelav62194932,1
diego_romero_r,1
pedrocaycho1,1
danpomarosas,1
javiersp16,1
ccastell7,1
jacknaiper777,1
ada14299656,1
etolmoss,1
csarandrdantez1,1
alejand63386984,1
marcopi76447434,1
babiloniatorres,1
csarsan65799560,1
rufinacastro12,1
gsm2509,1
karem12443670,1
22revatta,1
mintita31,1
giova55073543,1
antonel21448661,1
mathiousky,1
joeleonp98,1
lorenzosalasv,1
alexttito,1
shana_mab,1
mazzeratti4,1
kocjenny,1
valdiviezohilde,1
maikel80506635,1
germanalejoapaz,1
aurlartec,1
jcarlperez,1
corajesoy,1
xortee_plox,1
jimena08416039,1
steban_didillo,1
tify66567965,1
bely23859644,1
fpyonin,1
luisnie05428613,1
franciscomuroa,1
javierf27933273,1
wilmerv97613353,1
rufaihamzastk,1
ecq65095074,1
dvilaisrael,1
jhordan05309285,1
miguela45829657,1
llisusyisus,1
noekiyakp,1
playpolux,1
crucesjeremmy,1
moisessotovill1,1
marioenriqe15,1
cristinaninag,1
jimmy9peru,1
haxel42832451,1
luzzyyagm,1
earrovil,1
zaira91464574,1
zamalloagustavo,1
dcamrive,1
enrique36925497,1
compartamosperu,1
goch13789093,1
chuquinjosselyn,1
daniel76875912,1
d_javicho,1
miltonpal8,1
ananeyra,1
cabelloventura,1
luisang69735037,1
miguelhuamanib1,1
marcosvalley,1
